Turtle_ID,Site,Date_Caught,Species,Sex,Carapace_Length,Carapace_Width,Plastron_Length,Mass,Age,Number_ZM_Small_Consumed_After_24_Hours,Number_ZM_Medium_Consumed_After_24_Hours,Number_ZM_Large_Consumed_After_24_Hours,Number_Snails_Consumed_After_24_Hours,Total_Number_ZM_Consmed_After_24_Hours
54,Lake_Francis_Case,20_June_2020,FMT,F,22.5,17.2,20.1,1620,10,3,3,0,5,6
55,Lake_Francis_Case,20_June_2020,FMT,M,10.2,8,9.1,120,3,5,1,0,5,6
56,Lake_Francis_Case,20_June_2020,FMT,M,13.3,10.4,11.7,290,10,3,0,0,5,3
57,Lake_Francis_Case,20_June_2020,FMT,F,23.6,17.6,20.7,1670,10,5,5,5,5,15
58,Lake_Francis_Case,20_June_2020,FMT,F,13.8,11.2,12.6,352,10,0,0,0,4,0
59,Lake_Francis_Case,20_June_2020,FMT,F,13.9,11.5,12.6,360,10,0,0,2,5,2
60,Lake_Francis_Case,20_June_2020,FMT,M,12.7,10.9,11.2,257,10,5,0,0,4,5
61,Lake_Francis_Case,20_June_2020,FMT,F,20.6,15.9,18.8,1190,10,0,0,1,3,1
62,Lake_Francis_Case,20_June_2020,FMT,F,19.5,15.2,17.5,892,10,2,1,0,5,3
63,Lake_Francis_Case,20_June_2020,FMT,M,13.2,10.1,11.5,270,10,1,0,0,4,1
64,Lake_Francis_Case,20_June_2020,FMT,F,20,15.7,18.2,1030,10,3,4,1,2,8
65,Lake_Francis_Case,20_June_2020,FMT,M,11.6,9,10.3,177,10,0,0,0,5,0
66,Lake_Francis_Case,20_June_2020,FMT,M,11.3,9.3,10.2,178,3,0,0,0,4,0
67,Lake_Francis_Case,20_June_2020,FMT,M,13.2,10.5,11.7,250,10,5,0,1,5,6
68,Lake_Francis_Case,20_June_2020,FMT,M,12,8.7,10.6,176,5,2,0,0,5,2
69,Lake_Francis_Case,20_June_2020,FMT,F,13.9,11.5,12.7,360,10,0,0,0,5,0
71,Lake_Francis_Case,21_June_2020,FMT,F,22.4,15.5,18.8,1600,10,5,5,5,4,15
72,Lake_Francis_Case,21_June_2020,FMT,F,22.7,16.6,20.3,1530,10,2,1,1,4,4
73,Lake_Francis_Case,21_June_2020,FMT,F,21.3,15.8,19,1310,10,1,0,3,3,4
74,Lake_Francis_Case,21_June_2020,FMT,F,23.6,17.4,20.6,1645,10,5,5,5,5,15
75,Lake_Francis_Case,21_June_2020,FMT,F,23.4,18.4,20.1,1710,10,5,5,4,4,14
77,Lake_Francis_Case,21_June_2020,FMT,F,20,15.8,17.7,1023,10,5,5,5,5,15
78,Lake_Francis_Case,21_June_2020,FMT,,7.8,8.4,9.2,123,3,0,0,0,5,0
79,59_Mile_Stretch,31_July_2020,FMT,F,19.1,14.7,17.2,798,10,5,3,0,5,8
80,59_Mile_Stretch,31_July_2021,FMT,F,17.5,13.7,15.6,627,8,5,5,5,5,15
81,59_Mile_Stretch,31_July_2022,FMT,F,21.6,16.7,17.5,1222,10,0,0,0,1,0
82,59_Mile_Stretch,31_July_2023,FMT,F,21.7,16.1,19,1233,10,5,5,5,5,15
83,59_Mile_Stretch,31_July_2024,FMT,F,20.3,15.6,18.2,980,10,5,5,5,5,15
84,59_Mile_Stretch,4_Aug_2020,FMT,F,18.4,14,15.9,678,10,5,5,4,5,14
85,59_Mile_Stretch,4_Aug_2020,FMT,F,19.6,15,17.8,784,10,5,5,4,5,14
86,59_Mile_Stretch,5_Aug_2020,FMT,,10.7,9.1,10.1,145,3,0,0,0,5,0
87,59_Mile_Stretch,5_Aug_2020,FMT,F,11,9,10.4,150,3,0,0,0,2,0
88,59_Mile_Stretch,5_Aug_2020,FMT,F,16.9,13.4,15.5,610,10,5,5,0,5,10
89,59_Mile_Stretch,5_Aug_2020,FMT,F,19,15.5,17.5,920,10,1,0,1,5,2
90,59_Mile_Stretch,5_Aug_2020,FMT,M,9.9,8.4,9.1,110,3,0,0,0,4,0
91,59_Mile_Stretch,4_Aug_2020,FMT,F,20.4,16.8,18.3,1108,10,0,2,0,4,2
92,59_Mile_Stretch,5_Aug_2020,FMT,F,11.8,9.9,10.9,197,3,1,0,1,5,2
93,59_Mile_Stretch,5_Aug_2020,FMT,,17.5,14.9,15.95,635,10,0,0,0,5,0
94,59_Mile_Stretch,5_Aug_2020,FMT,F,16.5,12.95,15.3,510,10,0,0,0,3,0
95,59_Mile_Stretch,4_Aug_2020,FMT,F,22,15.9,19.4,1220,10,4,3,0,5,7
96,59_Mile_Stretch,4_Aug_2020,FMT,F,20.9,16.2,18.4,1168,10,4,3,2,4,9
97,59_Mile_Stretch,4_Aug_2020,FMT,F,20,15.2,17.8,940,10,5,4,1,5,10
98,59_Mile_Stretch,5_Aug_2020,FMT,F,19.8,15.3,18,910,10,0,0,0,3,0
99,59_Mile_Stretch,4_Aug_2020,FMT,F,19.1,14.8,17.1,789,10,5,5,3,5,13
100,59_Mile_Stretch,5_Aug_2020,FMT,?,9.9,8.7,9.2,105,2,0,0,0,5,0
101,59_Mile_Stretch,5_Aug_2020,FMT,F,12.5,10.1,11.4,240,4,5,1,0,5,6
110,59_Mile_Stretch,5_Aug_2020,FMT,F,17.5,13.8,16,610,10,5,1,0,5,6
Gregor,59_Mile_Stretch,5_Aug_2020,FMT,M,13.5,10.55,11.7,260,10,1,0,0,4,1
