Size,Number_Consumed_Per_Turtle,Site
Small,3,Lake_Francis_Case
Small,5,Lake_Francis_Case
Small,3,Lake_Francis_Case
Small,5,Lake_Francis_Case
Small,0,Lake_Francis_Case
Small,0,Lake_Francis_Case
Small,5,Lake_Francis_Case
Small,0,Lake_Francis_Case
Small,2,Lake_Francis_Case
Small,1,Lake_Francis_Case
Small,3,Lake_Francis_Case
Small,0,Lake_Francis_Case
Small,0,Lake_Francis_Case
Small,5,Lake_Francis_Case
Small,2,Lake_Francis_Case
Small,0,Lake_Francis_Case
Small,5,Lake_Francis_Case
Small,2,Lake_Francis_Case
Small,1,Lake_Francis_Case
Small,5,Lake_Francis_Case
Small,5,Lake_Francis_Case
Small,5,Lake_Francis_Case
Small,0,Lake_Francis_Case
Small,5,59_Mile_Stretch
Small,5,59_Mile_Stretch
Small,0,59_Mile_Stretch
Small,5,59_Mile_Stretch
Small,5,59_Mile_Stretch
Small,5,59_Mile_Stretch
Small,5,59_Mile_Stretch
Small,0,59_Mile_Stretch
Small,0,59_Mile_Stretch
Small,5,59_Mile_Stretch
Small,1,59_Mile_Stretch
Small,0,59_Mile_Stretch
Small,0,59_Mile_Stretch
Small,1,59_Mile_Stretch
Small,0,59_Mile_Stretch
Small,0,59_Mile_Stretch
Small,4,59_Mile_Stretch
Small,4,59_Mile_Stretch
Small,5,59_Mile_Stretch
Small,0,59_Mile_Stretch
Small,5,59_Mile_Stretch
Small,0,59_Mile_Stretch
Small,5,59_Mile_Stretch
Small,5,59_Mile_Stretch
Small,1,59_Mile_Stretch
Medium,3,Lake_Francis_Case
Medium,1,Lake_Francis_Case
Medium,0,Lake_Francis_Case
Medium,5,Lake_Francis_Case
Medium,0,Lake_Francis_Case
Medium,0,Lake_Francis_Case
Medium,0,Lake_Francis_Case
Medium,0,Lake_Francis_Case
Medium,1,Lake_Francis_Case
Medium,0,Lake_Francis_Case
Medium,4,Lake_Francis_Case
Medium,0,Lake_Francis_Case
Medium,0,Lake_Francis_Case
Medium,0,Lake_Francis_Case
Medium,0,Lake_Francis_Case
Medium,0,Lake_Francis_Case
Medium,5,Lake_Francis_Case
Medium,1,Lake_Francis_Case
Medium,0,Lake_Francis_Case
Medium,5,Lake_Francis_Case
Medium,5,Lake_Francis_Case
Medium,5,Lake_Francis_Case
Medium,0,Lake_Francis_Case
Medium,3,59_Mile_Stretch
Medium,5,59_Mile_Stretch
Medium,0,59_Mile_Stretch
Medium,5,59_Mile_Stretch
Medium,5,59_Mile_Stretch
Medium,5,59_Mile_Stretch
Medium,5,59_Mile_Stretch
Medium,0,59_Mile_Stretch
Medium,0,59_Mile_Stretch
Medium,5,59_Mile_Stretch
Medium,0,59_Mile_Stretch
Medium,0,59_Mile_Stretch
Medium,2,59_Mile_Stretch
Medium,0,59_Mile_Stretch
Medium,0,59_Mile_Stretch
Medium,0,59_Mile_Stretch
Medium,3,59_Mile_Stretch
Medium,3,59_Mile_Stretch
Medium,4,59_Mile_Stretch
Medium,0,59_Mile_Stretch
Medium,5,59_Mile_Stretch
Medium,0,59_Mile_Stretch
Medium,1,59_Mile_Stretch
Medium,1,59_Mile_Stretch
Medium,0,59_Mile_Stretch
Large,0,Lake_Francis_Case
Large,0,Lake_Francis_Case
Large,0,Lake_Francis_Case
Large,5,Lake_Francis_Case
Large,0,Lake_Francis_Case
Large,2,Lake_Francis_Case
Large,0,Lake_Francis_Case
Large,1,Lake_Francis_Case
Large,0,Lake_Francis_Case
Large,0,Lake_Francis_Case
Large,1,Lake_Francis_Case
Large,0,Lake_Francis_Case
Large,0,Lake_Francis_Case
Large,1,Lake_Francis_Case
Large,0,Lake_Francis_Case
Large,0,Lake_Francis_Case
Large,5,Lake_Francis_Case
Large,1,Lake_Francis_Case
Large,3,Lake_Francis_Case
Large,5,Lake_Francis_Case
Large,4,Lake_Francis_Case
Large,5,Lake_Francis_Case
Large,0,Lake_Francis_Case
Large,0,59_Mile_Stretch
Large,5,59_Mile_Stretch
Large,0,59_Mile_Stretch
Large,5,59_Mile_Stretch
Large,5,59_Mile_Stretch
Large,4,59_Mile_Stretch
Large,4,59_Mile_Stretch
Large,0,59_Mile_Stretch
Large,0,59_Mile_Stretch
Large,0,59_Mile_Stretch
Large,1,59_Mile_Stretch
Large,0,59_Mile_Stretch
Large,0,59_Mile_Stretch
Large,1,59_Mile_Stretch
Large,0,59_Mile_Stretch
Large,0,59_Mile_Stretch
Large,0,59_Mile_Stretch
Large,2,59_Mile_Stretch
Large,1,59_Mile_Stretch
Large,0,59_Mile_Stretch
Large,3,59_Mile_Stretch
Large,0,59_Mile_Stretch
Large,0,59_Mile_Stretch
Large,0,59_Mile_Stretch
Large,0,59_Mile_Stretch
Snails,5,Lake_Francis_Case
Snails,5,Lake_Francis_Case
Snails,5,Lake_Francis_Case
Snails,5,Lake_Francis_Case
Snails,4,Lake_Francis_Case
Snails,5,Lake_Francis_Case
Snails,4,Lake_Francis_Case
Snails,3,Lake_Francis_Case
Snails,5,Lake_Francis_Case
Snails,4,Lake_Francis_Case
Snails,2,Lake_Francis_Case
Snails,5,Lake_Francis_Case
Snails,4,Lake_Francis_Case
Snails,5,Lake_Francis_Case
Snails,5,Lake_Francis_Case
Snails,5,Lake_Francis_Case
Snails,4,Lake_Francis_Case
Snails,4,Lake_Francis_Case
Snails,3,Lake_Francis_Case
Snails,5,Lake_Francis_Case
Snails,4,Lake_Francis_Case
Snails,5,Lake_Francis_Case
Snails,5,Lake_Francis_Case
Snails,5,59_Mile_Stretch
Snails,5,59_Mile_Stretch
Snails,1,59_Mile_Stretch
Snails,5,59_Mile_Stretch
Snails,5,59_Mile_Stretch
Snails,5,59_Mile_Stretch
Snails,5,59_Mile_Stretch
Snails,5,59_Mile_Stretch
Snails,2,59_Mile_Stretch
Snails,5,59_Mile_Stretch
Snails,5,59_Mile_Stretch
Snails,4,59_Mile_Stretch
Snails,4,59_Mile_Stretch
Snails,5,59_Mile_Stretch
Snails,5,59_Mile_Stretch
Snails,3,59_Mile_Stretch
Snails,5,59_Mile_Stretch
Snails,4,59_Mile_Stretch
Snails,5,59_Mile_Stretch
Snails,3,59_Mile_Stretch
Snails,5,59_Mile_Stretch
Snails,5,59_Mile_Stretch
Snails,5,59_Mile_Stretch
Snails,5,59_Mile_Stretch
Snails,4,59_Mile_Stretch
