Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments
Claw,3:56,4:38,GOPRO209,Control_Side
Breath,4:38,5:06,,
Claw,5:06,6:23,,
Breath,6:23,6:38,,
Claw,6:38,7:01,,
Breath,7:01,7:11,,
Breath_Claw,7:11,8:56,,
Breath,8:56,9:00,,
Pace,9:00,9:05,,
Breath,9:05,9:08,,
Breath_Claw,9:08,10:38,,ZM_Side
Breath,10:38,10:40,,
Breath_Claw,10:40,11:25,,Control_Side
Pace,11:25,12:35,,
Breath,12:35,12:58,,
Pace,12:58,13:03,,
Breath,13:03,13:05,,
Breath_Claw,13:05,15:21,,
Breath,15:21,15:24,,
Breath_Claw,15:24,15:46,,
Pace,15:46,16:43,,
Breath,16:43,16:57,,
Breath_Claw,16:57,17:34,,
Breath_Claw,0:00,0:35,GO010209,
Breath,0:35,0:40,,
Breath_Claw,0:40,4:50,,
Breath,4:50,4:58,,
Breath_Claw,4:58,5:31,,
Breath,5:31,5:43,,
Breath_Claw,5:43,6:42,,
Breath,6:42,6:56,,
Claw,6:56,7:14,,
Breath,7:14,7:21,,
Breath_Claw,7:21,9:52,,
Breath,9:52,10:07,,
Breath_Claw,10:07,11:21,,
Breath,11:21,11:37,,
Claw,11:37,12:06,,
Breath,12:06,12:17,,
Claw,12:17,15:30,,
Breath,15:30,15:46,,
Breath_Claw,15:46,16:35,,
Breath,16:35,16:50,,
Claw,16:50,17:17,,
Breath,17:17,17:34,,
Breath,0:00,0:03,GO121209,
Breath_Claw,0:03,3:51,,ZM_Side
Breath,3:51,3:58,,
Breath_Claw,3:58,5:36,,
Breath,5:36,5:43,,
Breath_Claw,5:43,6:20,,
Breath,6:20,6:54,,
Claw,6:54,8:11,,
Breath,8:11,9:25,,
Breath_Claw,9:25,10:04,,
Breath,10:04,10:19,,
Claw,10:19,11:06,,
Breath,11:06,11:30,,
Claw,11:30,12:02,,
Breath,12:02,12:17,,
Claw,12:17,16:16,,
Breath,16:16,16:38,,
Claw,16:38,16:56,,
Breath,16:56,17:06,,
Breath_Claw,17:06,17:34,,
Breath_Claw,0:00,3:49,GO030209,
Breath,3:49,3:58,,
Breath_Claw,3:58,6:00,,
Breath,6:00,6:08,,
Breath_Claw,6:08,7:13,,
Breath,7:13,7:18,,
Breath_Claw,7:18,11:17,,
Breath,11:17,11:47,,
Claw,11:47,12:17,,
Breath,12:17,12:35,,
Claw,12:35,12:55,,
Breath,12:55,13:08,,
Claw,13:08,13:25,,
Breath,13:25,13:47,,
Breath_Claw,13:47,14:20,,
Breath,14:20,14:52,,
Breath_Claw,14:52,17:34,,
Breath,0:00,0:09,GO040209,
Breath_Claw,0:09,2:17,,
Breath,2:17,2:25,,
Breath_Claw,2:25,3:13,,
Breath,3:13,3:18,,
Breath_Claw,3:18,4:48,,
Breath,4:48,5:05,,
Claw,5:05,5:43,,
Breath,5:43,6:05,,
Breath_Claw,6:05,8:31,,
Breath,8:31,8:46,,
Breath_Claw,8:46,12:26,,
Breath,12:26,12:41,,
Breath_Claw,12:41,16:16,,
Breath,16:16,16:23,,
Claw,16:23,17:34,,
Claw,0:00,1:04,GP050209,
Breath,1:04,1:27,,
Breath_Claw,1:27,3:16,,
Breath,3:16,3:27,,
Claw,3:27,4:56,,
Breath,4:56,5:18,,
Breath_Claw,5:18,11:54,,
Breath,11:54,12:18,,
Breath_Claw,12:18,15:34,,
Breath,15:34,15:40,,
Breath_Claw,15:40,16:42,,
Breath,16:42,16:54,,
Breath_Claw,16:54,17:34,,
Breath_Claw,0:00,1:03,GP060209,
Breath,1:03,1:34,,
Breath_Claw,1:34,3:38,,
Breath,3:38,3:55,,
Breath_Claw,3:55,6:17,,
Breath,6:17,6:27,,
Claw,6:27,8:22,,
Breath,8:22,8:46,,
Claw,8:46,9:28,,
Breath,9:28,10:15,,
Breath_Claw,10:15,13:27,,
Breath,13:27,13:41,,
Breath_Claw,13:41,17:34,,
Breath,0:00,0:05,GP070209,
Breath_Claw,0:05,3:50,,
Breath,3:50,4:02,,
Breath_Claw,4:02,11:31,,
Breath,11:31,11:39,,
Breath_Claw,11:39,13:50,,
Breath,13:50,14:14,,
Breath_Claw,14:14,15:18,,
Breath,15:18,15:33,,
Breath_Claw,15:33,15:44,,END
